author,year,doi,incl_author,incl_year,country,continent,region,diabetes,criteria,instrument,n_total,n_diabet,n_control,prev_diabet,prev_control,quality
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-76,"Mutambudzi, M.",2016,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,624,624,,0.2119,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-77,"Mushtaque, A",2016,India,Asia,South-East Asian Region,T2DM,Diagnosis,DSM-V,80,80,,0.3875,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-78,"Li, Z",2016,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,PHQ-9,529,529,,0.395,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-79,"Khullar, S",2016,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,787,787,,0.5729,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-80,"Jones, LC",2016,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,GDS,246,246,,0.1748,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-81,"Johnson, ST",2016,Canada,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-8,2040,2040,,0.083,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-82,"Hashim, NA",2016,Malaysia,Asia,Western Pacific Region,T2DM,Diagnosis,DSM-IV,204,204,,0.157,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-83,"Habtewold, TD",2016,Ethiopia,Africa,African Region,T2DM,Not Assisted by Clinician,PHQ-9,276,276,,0.447,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-84,"Cols-Sagarra, C",2016,Spain,Europe,European Region,T2DM,Not Assisted by Clinician,PHQ-9,411,411,,0.474,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-85,"Chew, BH",2016,Malaysia,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,PHQ,700,700,,0.417,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-86,"Bruce, DG",2016,Australia,Australia,Western Pacific Region,T2DM,Not Assisted by Clinician,PHQ-9,184,184,,0.125,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-87,"Birhanu, AM",2016,Ethiopia,Africa,African Region,T2DM,Not Assisted by Clinician,PHQ-9,209,209,,0.163,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-88,"Barnacle, M",2016,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,1048,1048,,0.184,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-89,"Barnacle, M",2016,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,769,769,,0.379,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-90,"Arshad, AR.",2016,Pakistan,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,PHQ-9,133,133,,0.3835,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-91,"Zhang, Y",2015,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,PHQ-9,2538,2538,,0.061,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-92,"Zhang, W",2015,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,BDI,412,412,,0.345,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-93,"Wang, L",2015,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,ZSRDS,865,865,,0.351,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-94,"Thour, A",2015,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ‑9,73,73,,0.41,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-95,"Tan, KC",2015,Malaysia,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,DASS-21,320,320,,0.266,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-96,"Taheri Tanjani, P",2015,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,GDS-15,668,668,,0.362,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-97,"Samaan, Z",2015,Canada,North America,Region of the Americas,T2DM,Diagnosis,DSM-IV,2566,2566,,0.166,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-98,"Rodriguez Calvin, JL",2015,Spain,Europe,European Region,T2DM,Not Assisted by Clinician,BDI,275,275,,0.327,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-99,"Park, CY",2015,Republic of Korea,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,BDI,753,753,,0.2882,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-100,"Parildar, H",2015,Turkey,Asia,European Region,T2DM,Not Assisted by Clinician,BDI,110,110,,0.864,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-101,"Lopez-de-Andres, A",2007,Spain,Europe,European Region,T2DM,Diagnosis,ICD-10,23261,23261,,0.285,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-102,"Lopez-de-Andres, A",2008,Spain,Europe,European Region,T2DM,Diagnosis,ICD-10,25358,25358,,0.283,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-103,"Lopez-de-Andres, A",2009,Spain,Europe,European Region,T2DM,Diagnosis,ICD-10,27405,27405,,0.299,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-104,"Lopez-de-Andres, A",2010,Spain,Europe,European Region,T2DM,Diagnosis,ICD-10,28657,28657,,0.312,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-105,"Lopez-de-Andres, A",2011,Spain,Europe,European Region,T2DM,Diagnosis,ICD-10,31305,31305,,0.318,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-106,"Okumiya, K",2015,Japan,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,GDS-15,39,39,,0.077,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-107,"Nefs, G.",2015,Netherlands,Europe,European Region,T2DM,Not Assisted by Clinician,PHQ-9,361,361,,0.1,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-108,"Mishra, SR",2015,Nepal,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,157,157,,0.541,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-109,"Mir, K",2015,Not Reported,Unclassified,Unclassified,T2DM,Not Assisted by Clinician,PHQ-9,112,112,,0.598,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-110,"Mayberry, LS.s",2015,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,192,192,,0.651,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-111,"March, D",2015,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,Euro-D,221,221,,0.525,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-112,"Knaster, ES",2015,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ,3390,3390,,0.285,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-113,"Joshi, S",2015,Nepal,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,BDI-II,379,379,,0.441,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-114,"Islam, SM",2015,Bangladesh,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,591,591,,0.452,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-116,"Hapunda, G",2015,Zambia,Africa,African Region,T2DM,Not Assisted by Clinician,MDI,51,51,,0.26,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-117,"Gemeay, EM",2015,Saudi Arabia,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI,29,29,,0.379,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-118,"Foran, E",2015,Ireland,Europe,European Region,T2DM,Not Assisted by Clinician,HADS,283,283,,0.22,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-119,"Ferreira, MC",2015,Brazil,South America,Region of the Americas,T2DM,Not Assisted by Clinician,BDI,105,105,,0.352,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-120,"El Mahalli, AA",2015,Saudi Arabia,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,CES-S,260,260,,0.496,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-121,"Derakhshanpour, F",2015,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI,330,330,,0.582,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-122,"Czech, SJ",2015,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,82,82,,0.878,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-123,"Crispin-Trebejo, B",2015,Peru,South America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,277,277,,0.112,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-124,"Camara, A",2015,Guinea,Africa,African Region,T2DM,Not Assisted by Clinician,HADS,491,491,,0.344,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-125,"Browne, JL",2015,United Kingdom,Europe,European Region,T2DM,Not Assisted by Clinician,PHQ-9,93,93,,0.3,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-126,"Browne, JL",2015,United Kingdom,Europe,European Region,T2DM,Not Assisted by Clinician,PHQ-9,93,93,,0.16,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-127,"Zheng, Y",2014,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,PHQ-9,1276,1276,,0.089,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-128,"Zheng, Y",2014,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,PHQ-9,1235,1235,,0.076,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-129,"Vanderlip, ER",2014,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,261,261,,0.28,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-130,"Sweileh, WM",2014,Palestine,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI-II,294,294,,0.402,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-131,"Singh, H",2014,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,CES-D,109,109,,0.422,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-132,"Siddiqui, S",2014,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,130,130,,0.3538,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-133,"Pearson, S",2014,Australia,Australia,Western Pacific Region,T2DM,Not Assisted by Clinician,PHQ,48,48,,0.521,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-134,"Palta, P",2014,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,Short-CARE depression scale,613,613,,0.36,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-135,"Omagari, K",2014,Japan,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,HADS,89,89,,0.169,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-136,"Musselman, DL",2014,United State of America,North America,Region of the Americas,T2DM,Diagnosis,Mini International Neuropsychiatric Interview (MINI),172,172,,0.19,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-137,"MikaliUnited Kingdomstiene, A",2014,Lithuania,Europe,European Region,T2DM,Not Assisted by Clinician,HADS,1022,1022,,0.285,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-138,"Martinez Hernandez, F",2014,Mexico,South America,Region of the Americas,T2DM,Diagnosis,HDRS,231,231,,0.4978,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-139,"Limongi, F",2014,Italy,Europe,European Region,T2DM,Not Assisted by Clinician,GDS,431,431,,0.411,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-140,"Lara Munoz Mdel, C",2014,Mexico,South America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,241,241,,0.315,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-141,"Lara Munoz Mdel, C",2014,Mexico,South America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,121,121,,0.52,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-142,"Khan, MA",2014,Pakistan,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI-II,140,140,,0.736,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-143,"Kalantari, S",2014,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI,90,90,,0.378,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-144,"Jafari, N",2014,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,PHQ-2,203,203,,0.635,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-145,"Hayashino, Y",2014,Japan,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,PHQ-9,3573,3573,,0.034,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-146,"Gorska-Ciebiada, M",2014,Poland,Europe,European Region,T2DM,Not Assisted by Clinician,GDS-30,276,276,,0.297,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-147,"Ganasegeran, K",2014,Malaysia,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,HADS,169,169,,0.403,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-148,"DismUnited Kingdome, CE",2014,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-2,1659,1659,,0.154,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-149,"Carper, MM",2014,United State of America,North America,Region of the Americas,T2DM,Diagnosis,Mini International Neuropsychiatric Interview (MINI),146,146,,0.568,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-150,"Bensbaa, S",2014,Morocco,Africa,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI,142,142,,0.331,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-151,"Alonso-Moran, E.",2014,Spain,Europe,European Region,T2DM,#N/A,#N/A,126894,126894,,0.098,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-152,"Azad, N",2014,Pakistan,Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,HADS,110,110,,0.527,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-153,"Zhang, J",2013,China,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician, ZSRDS,200,200,,0.24,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-154,"Zahra, S",2013,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI,165,165,,0.361,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-155,"Zahra, S",2013,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI,31,31,,0.743,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-156,"Yu, MK",2013,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,3630,3630,,0.112,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-157,"Wu, SF",2013,Taiwan (Province of China),Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,BDI,111,111,,0.126,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-158,"Wami, WM",2013,Belgium,Europe,European Region,T2DM,Diagnosis,ICD-10,3416,3416,,0.12,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-159,"Twist, K",2013,United Kingdom,Europe,European Region,T2DM,Not Assisted by Clinician,PHQ-9,1500,1500,,0.121,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-160,"Tanenbaum, ML",2013,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,MADRS,70,70,,0.386,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-161,"Schierhout, G",2013,Australia,Australia,Western Pacific Region,T2DM,Not Assisted by Clinician,PHQ-9,1174,1174,,0.06,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-162,"Palizgir, M",2013,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T2DM,Not Assisted by Clinician,BDI,184,184,,0.707,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-163,"Niraula, K",2013,Nepal,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,BDI-Ia,385,385,,0.403,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-164,"Myers, AK.",2013,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,145,145,,0.379,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-165,"Madhu, M",2013,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,100,100,,0.49,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-166,"Koekkoek, PS",2013,Netherlands,Europe,European Region,T2DM,Not Assisted by Clinician,BDI-II,366,366,,0.11,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-167,"Kaur, G",2013,Malaysia,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,DASS-21,2508,2508,,0.115,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-168,"Hajos, TR",2013,Netherlands,Europe,European Region,T2DM,Not Assisted by Clinician,PHQ-9,549,549,,0.2,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-169,"Furuya, M",2013,Japan,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,CES-D,153,153,,0.366,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-170,"Frederick, FT",2013,Trinidad and Tobago,South America,Region of the Americas,T2DM,Not Assisted by Clinician,ZSDS,128,128,,0.179,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-171,"Das, R",2013,India,Asia,South-East Asian Region,T2DM,Diagnosis,DSM-IV,195,195,,0.4615,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-172,"Clyde, M",2013,Canada,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,1868,1868,,0.087,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-173,"Chung, JO",2013,Republic of Korea,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,BDI,401,401,,0.294,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-174,"Choi, SE",2013,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CESD,164,164,,0.56,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-175,"Baradaran, HR",2013,Iran (Islamic Republic of),Asia,Eastern Mediterranean Region,T2DM,Diagnosis,DSM-IV,185,185,,0.432,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-176,"Ali, Naseer",2013,India,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,BDI,122,122,,0.2705,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-177,"Tsujii, S",2012,Japan,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,CESD,3305,3305,,0.278,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-178,"Trento, M",2012,Italy,Europe,European Region,T2DM,Not Assisted by Clinician,ZSDS,498,498,,0.13,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-179,"Tovilla-Zarate, C",2012,Mexico,South America,Region of the Americas,T2DM,Diagnosis,HDRS,704,704,,0.4827,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-180,"Shah, BM",2012,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,ZSDS,201,201,,0.721,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-181,"Roy, T",2012,Bangladesh,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,PHQ-9,417,417,,0.34,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-182,"Roy, T",2012,Bangladesh,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,WHO-5,417,417,,0.175,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-183,"Rahman, M",2012,Bangladesh,Asia,South-East Asian Region,T2DM,Not Assisted by Clinician,CES-D,178,178,,0.348,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-184,"Park, H",2012,Republic of Korea,Asia,Western Pacific Region,T2DM,Not Assisted by Clinician,CES-D,154,154,,0.3,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-185,"Osme, SF",2012,Brazil,South America,Region of the Americas,T2DM,Not Assisted by Clinician,HAD-D,92,92,,0.348,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-186,"Osborn, CY",2012,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,PHQ-9,139,139,,0.381,,High
"Khaledi, M. and Haghighatdoost, F. and Feizi, A. and Aminorroaya, A.",2019,10.1007/s00592-019-01295-187,"Mendenhall, E",2012,United State of America,North America,Region of the Americas,T2DM,Not Assisted by Clinician,CES-D,121,121,,0.49,,High
